Time;Robot;Node;Idleness;Interferences
37.6;6;26;15.7;3
41.4;3;0;19.7;4
45.5;0;23;5.5;6
48.7;3;1;20.8;8
50.0;10;21;17.7;10
50.5;5;10;12.7;10
50.7;6;19;28.8;10
51.4;1;11;12.3;10
52.3;0;24;14.8;10
53.1;2;18;31.4;10
53.2;11;7;31.5;10
55.2;3;0;13.8;11
56.5;4;3;34.8;12
57.8;5;14;13.6;13
59.8;7;28;37.9;14
60.8;3;1;12.1;15
61.5;11;9;33.9;15
64.5;1;6;42.8;16
65.4;6;26;27.8;17
65.5;5;10;15.0;17
66.2;2;12;29.6;17
66.2;0;20;44.5;17
66.5;3;4;32.6;17
67.6;8;8;21.5;17
68.3;11;7;15.1;18
69.3;7;27;39.5;18
70.1;10;17;48.2;18
73.1;2;13;26.7;18
73.4;3;0;18.2;18
73.6;1;5;37.6;18
73.7;5;14;15.9;18
75.6;11;9;14.1;20
76.3;4;3;19.8;20
76.7;0;21;26.7;20
79.0;7;28;19.2;22
80.1;3;1;19.3;22
80.6;6;19;29.9;22
82.1;5;10;16.6;23
82.5;11;7;14.2;23
82.6;1;6;18.1;23
83.7;10;22;47.9;23
83.7;2;18;30.6;23
86.3;3;0;12.9;23
87.5;0;20;21.3;23
88.1;7;27;18.8;23
90.5;11;9;14.9;23
90.5;5;14;16.8;23
91.6;1;5;18.0;23
91.8;4;3;15.5;23
92.3;3;1;12.2;23
92.4;8;2;70.7;23
93.0;6;26;27.6;23
95.5;7;25;53.4;23
96.9;2;12;30.7;23
97.2;10;17;27.1;23
97.7;5;16;75.8;23
97.9;11;7;15.4;23
98.0;3;4;31.5;23
99.5;7;24;47.2;23
100.8;1;6;18.2;23
102.9;2;13;29.8;23
103.6;7;23;58.1;23
104.0;5;15;71.4;23
