Time;Robot;Node;Idleness;Interferences
45.7;1;0;28.2;0
55.9;1;1;29.7;0
64.6;1;4;29.5;0
74.7;1;0;29.0;0
85.1;1;1;29.2;0
90.3;0;5;41.7;0
93.6;1;4;29.0;0
103.3;1;0;28.6;0
113.4;1;1;28.3;0
122.1;1;4;28.5;0
131.9;1;0;28.6;0
143.2;1;1;29.8;0
247.3;0;11;210.9;0
277.5;0;8;174.3;0
303.9;0;10;187.5;0
322.3;0;17;304.7;0
343.6;0;5;253.3;0
354.7;0;2;295.2;0
373.1;0;6;295.1;0
405.0;0;9;275.4;0
414.2;0;7;275.4;0
416.9;1;21;238.5;0
428.1;1;22;239.1;0
432.3;0;15;275.6;0
452.1;1;18;263.0;0
452.4;0;11;205.1;0
460.9;0;8;183.4;0
464.9;1;13;261.5;0
475.6;0;12;214.0;0
479.3;1;3;263.0;0
497.3;0;10;193.4;0
506.9;0;14;214.1;0
517.4;0;16;151.9;0
518.8;1;26;263.6;0
527.0;0;15;94.7;0
533.0;1;19;263.6;0
540.8;0;9;135.8;0
554.5;0;7;140.3;0
561.1;1;28;245.1;0
575.4;1;24;360.1;0
586.4;1;27;259.4;0
589.2;0;17;266.9;0
606.7;1;20;258.6;0
610.7;0;5;267.1;0
619.3;1;21;202.4;0
622.0;0;2;267.3;0
640.6;0;6;267.5;0
666.6;0;11;214.2;6
674.9;0;8;214.0;6
687.5;0;12;211.9;6
693.6;1;4;571.5;6
697.0;1;4;3.4;6
704.3;0;13;239.4;6
708.3;1;0;576.4;6
718.8;1;1;575.6;6
728.3;0;17;139.1;6
745.2;0;10;247.9;6
754.7;0;14;247.8;6
762.7;1;22;334.6;6
765.2;0;16;247.8;6
774.7;0;15;247.7;6
777.1;1;23;380.5;6
788.0;0;9;247.2;6
788.9;1;25;382.4;6
797.3;1;24;221.9;6
797.6;0;7;243.1;6
807.4;1;27;221.0;6
818.2;0;11;151.6;6
818.2;1;28;257.1;6
830.2;0;5;219.5;6
841.4;0;2;219.4;6
