Time;Robot;Node;Idleness;Interferences
45.3;1;6;21.9;0
46.3;3;5;10.3;0
46.5;4;18;23.1;0
50.8;2;10;7.8;0
51.0;0;20;27.8;0
55.2;1;5;8.9;0
58.9;2;11;15.0;0
63.8;5;15;27.7;1
64.3;3;5;9.1;1
65.0;1;11;6.1;1
72.0;3;6;26.7;4
74.0;1;10;23.2;4
75.0;5;9;21.5;4
81.8;3;5;17.5;4
84.4;4;18;37.9;4
84.5;1;9;9.5;4
86.9;5;15;23.1;4
94.6;4;13;58.8;4
96.4;0;26;31.6;4
96.4;3;1;67.1;4
99.9;4;12;7.7;5
100.7;1;9;16.2;6
101.8;3;0;78.4;6
103.4;2;8;21.6;6
104.1;5;9;3.4;6
106.6;4;13;12.0;6
109.2;3;1;12.8;6
111.5;1;15;24.6;6
114.3;2;12;14.4;6
114.8;0;18;30.4;6
116.3;4;3;92.9;6
117.7;1;16;94.5;6
118.1;5;15;6.6;6
124.8;1;14;87.8;6
125.1;3;5;43.3;6
125.4;0;13;18.8;6
125.6;2;8;22.2;6
130.8;5;20;79.8;8
131.0;1;10;57.0;8
133.1;3;2;78.4;8
137.3;2;12;23.0;8
137.4;0;18;22.6;8
141.3;1;9;37.2;9
142.6;3;5;17.5;9
145.6;5;15;27.5;10
147.4;1;7;56.8;11
150.7;0;17;117.3;12
152.2;3;2;19.1;12
155.4;1;9;14.1;13
161.8;3;5;19.2;15
162.2;5;20;31.4;15
162.9;0;22;94.3;15
165.0;1;15;19.4;16
169.5;4;13;44.1;17
171.5;1;16;53.8;17
175.3;5;15;10.3;17
176.1;2;13;6.6;17
176.6;0;17;25.9;17
176.6;3;1;67.4;17
179.6;4;18;42.2;17
180.1;1;14;55.3;17
182.1;5;16;10.6;17
187.9;2;18;8.3;18
188.2;3;1;11.6;19
190.2;1;16;8.1;19
191.5;0;22;28.6;20
196.9;1;15;21.6;21
198.0;4;26;101.6;21
201.5;2;17;24.9;21
203.6;0;28;123.0;21
204.1;3;5;42.3;21
204.8;5;15;7.9;21
207.4;1;9;52.0;21
211.6;3;6;139.6;21
212.4;2;11;147.4;21
213.0;1;7;65.6;21
214.9;5;9;7.5;21
217.3;4;18;29.4;22
221.1;0;28;17.5;24
221.7;2;5;17.6;24
224.6;1;9;9.7;25
227.8;5;7;14.8;26
230.6;3;5;8.9;26
230.8;4;17;29.3;26
234.4;1;10;103.4;26
236.0;5;9;11.4;26
236.9;0;26;38.9;26
238.9;2;1;50.7;26
240.4;3;6;28.8;26
241.1;4;11;28.7;26
243.7;5;7;15.9;26
244.6;2;4;62.6;26
246.0;1;9;10.0;26
250.2;3;5;19.6;27
252.0;2;1;13.1;28
253.3;4;17;22.5;28
253.5;1;7;9.8;28
255.2;0;28;34.1;29
258.5;2;4;13.9;30
259.2;3;6;18.8;30
260.6;1;9;14.6;30
264.9;4;11;23.8;32
264.9;2;1;12.9;32
268.6;3;5;18.4;32
269.0;0;22;77.5;32
270.0;4;8;144.4;32
270.9;1;10;36.5;32
271.0;2;4;12.5;32
276.5;4;11;11.6;32
276.9;3;2;124.7;32
277.7;2;1;12.8;32
280.9;0;17;27.6;32
282.8;1;9;22.2;32
284.4;2;4;13.4;32
286.2;3;5;17.6;33
289.1;5;9;6.3;34
290.9;2;1;13.2;35
292.9;1;15;88.1;35
294.2;0;22;25.2;36
295.8;3;2;18.9;36
296.4;2;0;194.6;37
302.3;2;1;11.4;39
305.2;3;5;19.0;40
305.2;1;9;16.1;40
308.2;0;17;27.3;41
308.7;2;0;12.3;41
315.1;2;1;12.8;43
315.3;3;2;19.5;43
316.5;1;15;23.6;44
317.1;4;5;11.9;44
321.1;2;4;36.7;45
322.0;0;22;27.8;45
327.5;2;1;12.4;47
328.8;3;5;11.7;47
329.2;1;20;167.0;47
333.9;5;10;63.0;49
335.7;0;17;27.5;49
338.0;3;11;61.5;50
341.3;5;14;161.2;50
342.0;2;5;13.2;50
343.5;1;15;27.0;51
348.3;5;16;158.1;53
349.4;0;22;27.4;54
352.9;2;11;14.9;55
357.5;0;21;296.6;57
357.5;2;8;87.5;57
357.7;5;14;16.4;57
358.7;1;20;29.5;57
358.9;3;5;16.9;57
366.6;4;11;13.7;57
367.2;2;12;229.9;57
367.2;3;2;51.9;57
368.3;5;16;20.0;57
372.9;0;21;15.4;57
374.7;5;15;31.2;57
376.4;1;27;165.4;57
376.6;3;5;17.7;57
379.1;2;8;21.6;57
382.4;0;20;23.7;58
383.0;5;16;14.7;58
384.0;1;28;128.8;58
384.7;3;6;125.5;59
