Time;Robot;Node;Idleness;Interferences
57.8;0;6;22.6;40
69.6;8;3;34.4;49
70.1;2;5;34.9;49
76.7;6;11;41.5;53
78.6;0;0;43.4;53
85.8;4;1;50.6;56
86.5;1;4;51.3;57
92.1;10;2;56.9;60
94.7;8;0;16.1;60
95.8;5;8;60.6;61
95.9;3;12;60.7;61
99.9;11;10;64.7;62
106.1;7;7;70.9;66
116.3;2;0;21.6;74
120.5;11;14;85.3;75
120.9;6;0;4.6;75
132.9;4;0;12.0;83
136.9;9;9;101.7;87
142.0;1;0;9.1;91
151.0;11;16;115.8;96
158.3;3;0;16.3;102
165.8;11;15;130.6;109
182.6;11;17;147.4;118
192.2;7;0;33.9;124
199.5;11;18;164.3;129
220.0;11;19;184.8;141
234.7;11;13;199.5;150
246.6;10;0;54.4;159
275.2;5;0;28.6;171
312.0;11;0;36.8;191
337.0;9;0;25.0;197
