Time;Robot;Node;Idleness;Interferences
17.5;1;4;6.0;0
17.5;0;3;6.0;0
110.0;0;4;92.5;0
111.2;1;5;99.7;0
207.3;1;4;97.3;0
301.5;1;3;284.0;0
332.2;0;0;320.7;1
415.3;0;4;208.0;2
506.4;0;5;395.2;2
535.3;1;0;203.1;2
592.7;0;4;177.4;2
639.6;1;3;338.1;2
746.3;0;3;106.7;2
868.0;1;0;332.7;2
912.8;0;0;44.8;2
964.1;1;3;217.8;2
1074.4;1;2;1062.9;2
1118.6;0;6;1107.1;2
1168.3;1;3;204.2;2
1212.5;0;0;299.7;2
1267.7;1;4;675.0;2
1352.6;1;5;846.2;2
1358.3;0;3;190.0;2
1446.5;1;4;178.8;2
1459.0;0;4;12.5;2
1538.9;1;3;180.6;2
1552.7;0;5;200.1;2
1628.9;1;4;169.9;2
1639.0;0;4;10.1;2
1714.6;1;5;161.9;2
1732.5;0;5;17.9;2
1807.7;1;4;168.7;2
1820.4;0;4;12.7;2
1893.0;1;5;160.5;2
1913.2;0;5;20.2;2
1987.1;1;4;166.7;2
1998.9;0;4;11.8;2
2080.0;1;3;541.1;2
2159.0;0;3;79.0;2
2171.1;1;4;172.2;2
