Time;Robot;Node;Idleness;Interferences
21.5;0;0;4.0;0
21.5;2;6;4.0;0
21.5;3;10;4.0;0
21.6;1;5;4.1;0
28.8;0;1;11.3;0
31.7;1;3;14.2;0
42.8;2;4;25.3;0
43.6;1;2;26.1;1
45.6;0;4;2.8;1
68.0;3;8;50.5;6
71.6;1;3;39.9;6
86.5;1;1;57.7;8
118.9;1;4;73.3;13
213.2;0;1;126.7;19
219.6;3;10;198.1;22
226.7;1;1;13.5;22
232.2;3;9;214.7;22
235.8;1;0;214.3;22
244.9;0;3;173.3;22
247.5;1;1;20.8;22
248.5;3;7;231.0;22
261.5;1;3;16.6;22
262.5;0;2;218.9;22
302.9;0;3;41.4;28
315.5;0;5;293.9;30
333.8;0;8;265.8;30
341.8;0;10;122.2;30
354.4;0;9;122.2;30
374.4;2;1;126.9;30
383.8;2;0;148.0;32
395.1;2;1;20.7;35
409.1;0;7;160.6;41
415.1;2;3;112.2;41
422.6;3;9;68.2;41
426.1;2;5;110.6;41
434.8;3;10;93.0;41
445.1;2;8;111.3;43
456.4;2;10;21.6;45
457.5;1;5;31.4;45
470.0;2;9;47.4;45
473.8;1;8;28.7;46
481.7;1;10;25.3;47
482.0;3;9;12.0;47
494.9;1;9;12.9;48
561.7;0;9;66.8;78
574.1;0;10;92.4;80
579.9;3;7;170.8;80
582.8;0;8;109.0;80
583.2;1;10;9.1;80
591.4;1;8;8.6;82
594.0;2;10;10.8;82
600.7;0;5;143.2;82
602.9;2;8;11.5;83
612.2;1;5;11.5;84
613.1;0;3;198.0;84
627.9;2;5;15.7;89
671.7;2;8;68.8;105
679.6;2;10;85.6;106
691.5;2;9;129.8;106
696.4;1;8;24.7;106
704.8;1;10;25.2;106
