Time;Robot;Node;Idleness;Interferences
63.6;3;10;41.2;0
71.1;2;6;48.6;0
74.4;3;8;42.1;0
88.6;3;10;25.0;0
97.2;1;5;74.8;0
105.0;3;8;30.6;0
110.3;2;6;39.2;0
116.5;1;3;77.4;0
121.3;3;10;32.7;0
127.9;0;1;94.3;0
135.0;3;9;85.0;0
136.4;1;5;39.2;0
139.8;0;0;117.4;0
143.0;2;4;88.8;0
149.1;3;10;27.8;0
156.3;0;1;28.4;0
160.7;3;8;55.7;0
161.7;1;5;25.3;0
163.8;2;6;53.5;0
170.0;0;0;30.2;0
172.6;3;10;23.5;0
184.3;3;8;23.6;0
185.2;0;1;28.9;0
194.9;1;3;78.4;0
196.5;3;10;23.9;0
209.0;0;0;39.0;0
217.5;3;9;82.5;0
231.0;3;10;34.5;2
241.5;3;8;57.2;2
254.9;1;2;150.3;2
257.8;3;5;96.1;2
274.3;3;8;32.8;2
275.1;1;3;80.2;2
286.4;3;10;55.4;2
300.8;3;9;83.3;2
366.8;3;10;80.4;13
386.0;3;8;111.7;17
456.1;0;1;270.9;17
