Time;Robot;Node;Idleness;Interferences
36.5;3;10;16.5;0
43.2;0;3;11.2;0
73.5;2;1;44.8;5
92.3;0;6;72.3;6
93.7;1;1;20.2;6
109.4;1;4;51.9;6
131.4;3;12;115.4;6
142.2;0;8;114.8;6
149.0;0;6;56.7;6
156.9;0;4;47.5;6
158.5;2;3;115.3;6
171.2;1;2;6.9;10
173.3;0;3;14.8;11
178.9;1;4;22.0;11
181.0;2;7;34.7;12
188.6;1;6;39.6;14
192.3;0;7;11.3;15
196.3;2;12;64.9;15
197.5;1;5;177.5;15
205.4;0;9;159.8;15
214.6;1;0;194.6;15
215.4;2;9;10.0;15
218.0;0;6;29.4;15
226.7;0;4;47.8;15
230.6;2;6;12.6;15
237.6;0;6;7.0;15
240.3;2;5;42.8;15
243.5;0;8;101.3;15
247.5;3;12;51.2;15
250.6;2;6;13.0;15
250.8;1;5;10.5;15
251.4;0;11;235.4;15
260.0;1;6;9.4;15
260.5;0;8;17.0;15
261.7;2;9;46.3;15
268.3;0;6;8.3;19
273.4;1;8;12.9;19
273.9;3;9;12.2;19
275.6;2;6;7.3;19
277.5;0;5;26.7;19
289.8;1;6;14.2;22
298.2;1;4;71.5;25
300.3;0;0;85.7;25
305.7;1;2;134.5;25
311.0;2;5;33.5;25
315.0;1;4;16.8;25
323.9;1;2;18.2;25
333.5;1;1;239.8;27
344.8;1;2;20.9;31
351.9;0;5;40.9;31
358.1;1;1;24.6;33
368.7;1;2;23.9;35
376.1;1;4;61.1;35
384.9;1;2;16.2;35
390.5;2;0;90.2;35
393.5;1;3;220.2;35
395.1;0;10;358.6;35
404.8;1;2;19.9;35
407.1;2;5;55.2;35
412.2;1;4;36.1;35
418.5;0;5;11.4;35
420.4;1;6;130.6;35
424.4;2;0;33.9;35
