Time;Robot;Node;Idleness;Interferences
37.8;3;10;16.9;0
40.9;0;0;20.0;0
52.0;0;1;22.4;0
56.8;1;3;23.0;0
63.2;0;0;22.3;0
65.6;2;6;44.7;0
68.9;1;5;48.0;0
74.7;0;1;22.7;0
78.3;2;4;26.9;0
79.9;3;9;32.6;0
83.5;1;8;55.2;0
88.6;0;3;31.8;0
89.3;3;10;51.5;0
93.5;2;6;27.9;0
99.3;0;2;55.0;0
99.6;3;9;19.7;0
102.6;1;5;33.7;0
109.0;2;7;44.8;0
109.9;3;10;20.6;0
111.7;0;3;23.1;0
115.3;1;8;31.8;0
124.1;2;6;30.6;0
146.2;0;2;46.9;0
148.8;1;6;24.7;0
157.1;0;1;82.4;0
159.3;3;5;56.7;0
161.9;1;9;62.3;0
167.3;0;2;21.1;0
176.0;0;3;64.3;0
176.3;3;0;113.1;0
178.8;1;7;69.8;0
186.4;0;2;19.1;0
188.9;1;9;27.0;0
195.6;0;1;38.5;0
199.0;3;5;39.7;0
201.9;1;6;53.1;0
202.8;2;4;124.5;0
206.4;0;2;20.0;0
208.0;1;8;92.7;0
210.9;2;6;9.0;0
240.1;3;10;130.2;3
241.4;0;3;65.4;3
245.4;1;5;46.4;3
252.7;0;1;57.1;3
258.1;1;8;50.1;3
262.2;0;0;85.9;3
265.8;1;10;25.7;3
273.3;0;1;20.6;3
275.1;1;8;17.0;3
281.7;3;9;92.8;3
286.4;1;5;41.0;3
288.4;0;4;85.6;3
297.7;3;10;31.9;5
298.1;1;3;56.7;5
301.3;0;6;90.4;5
305.7;3;8;30.6;5
308.5;1;2;102.1;5
312.7;2;7;133.9;5
313.7;0;4;25.3;5
321.9;3;5;35.5;5
322.8;1;3;24.7;5
329.3;2;9;47.6;5
358.2;1;2;49.7;5
369.4;1;1;96.1;5
377.1;2;7;64.4;5
379.9;1;2;21.7;5
380.7;0;6;79.4;5
394.4;2;3;71.6;5
