Time;Robot;Node;Idleness;Interferences
21.5;1;0;6.2;0
21.5;2;0;0.0;0
21.5;0;0;0.0;0
21.5;3;0;0.0;0
43.3;1;4;28.0;6
45.0;2;5;29.7;6
54.0;3;6;38.7;6
54.8;0;3;39.5;6
59.2;1;0;37.7;6
59.7;1;0;0.5;6
60.1;1;0;0.4;6
60.7;1;0;0.6;6
61.2;1;0;0.5;6
61.7;1;0;0.5;6
62.1;1;0;0.4;6
62.5;1;0;0.4;6
63.0;1;0;0.5;6
71.1;0;2;55.8;8
73.5;2;0;10.5;8
73.9;2;0;0.4;8
74.4;2;0;0.5;8
74.9;2;0;0.5;8
75.4;2;0;0.5;8
75.9;2;0;0.5;8
76.3;2;0;0.4;8
76.8;2;0;0.5;8
77.4;2;0;0.6;9
84.7;1;5;39.7;11
85.2;0;1;69.9;11
89.3;3;0;11.9;11
89.9;3;0;0.6;11
90.3;3;0;0.4;11
90.7;3;0;0.4;11
91.2;3;0;0.5;11
91.6;3;0;0.4;11
92.1;3;0;0.5;11
92.5;3;0;0.4;11
93.0;3;0;0.5;11
93.4;3;0;0.4;11
93.8;3;0;0.4;11
94.4;3;0;0.6;11
94.9;3;0;0.5;11
95.4;3;0;0.5;11
95.9;3;0;0.5;11
96.4;3;0;0.5;11
96.9;3;0;0.5;11
97.4;3;0;0.5;11
97.9;3;0;0.5;11
98.3;3;0;0.4;11
98.9;3;0;0.6;11
99.3;3;0;0.4;11
99.8;3;0;0.5;11
100.2;3;0;0.4;11
100.7;3;0;0.5;11
101.2;3;0;0.5;11
101.7;3;0;0.5;11
102.2;3;0;0.5;11
102.6;3;0;0.4;11
103.0;3;0;0.4;11
103.3;2;6;49.3;11
103.5;3;0;0.5;11
104.0;3;0;0.5;11
104.4;3;0;0.4;11
104.8;3;0;0.4;11
105.3;3;0;0.5;11
105.7;3;0;0.4;11
106.2;3;0;0.5;11
106.7;3;0;0.5;11
107.1;3;0;0.4;11
107.6;3;0;0.5;11
108.1;3;0;0.5;11
108.6;3;0;0.5;11
109.1;3;0;0.5;11
109.6;3;0;0.5;11
110.0;3;0;0.4;11
110.4;3;0;0.4;11
110.8;3;0;0.4;11
111.2;3;0;0.4;11
111.8;3;0;0.6;11
112.2;3;0;0.4;11
112.6;3;0;0.4;11
113.1;3;0;0.5;11
113.6;3;0;0.5;11
114.0;3;0;0.4;11
114.4;3;0;0.4;11
114.9;3;0;0.5;11
115.3;3;0;0.4;11
