Time;Robot;Node;Idleness;Interferences
59.9;4;17;24.6;0
65.0;1;5;40.8;0
70.8;2;6;46.4;0
71.6;4;16;47.2;0
120.5;0;3;81.2;0
139.7;0;1;103.7;0
142.3;1;10;118.0;0
151.8;0;0;127.4;2
158.4;1;8;124.3;4
171.8;1;5;106.8;7
173.5;0;1;33.8;7
214.8;5;18;91.8;16
221.4;5;20;128.1;18
222.6;0;4;168.3;19
233.5;0;6;162.7;21
238.2;3;12;135.0;21
247.0;2;7;151.2;21
250.2;3;10;107.9;22
258.8;2;9;127.1;23
266.4;0;2;160.4;23
283.1;3;16;211.5;25
289.8;1;7;42.8;26
300.6;3;19;249.4;32
322.2;3;15;297.9;37
332.6;3;13;111.8;37
346.8;0;3;226.3;37
347.3;3;14;210.3;37
350.1;5;12;111.9;37
358.2;4;20;136.8;37
370.1;3;18;155.3;37
371.2;2;8;212.8;37
377.9;2;5;206.1;37
388.5;3;14;41.2;37
391.3;1;6;157.8;37
401.5;3;13;68.9;37
417.2;3;12;67.1;37
425.5;3;11;162.5;37
425.7;1;4;203.1;37
432.5;3;10;182.3;37
