Time;Robot;Node;Idleness;Interferences
23.1;0;0;6.8;0
23.3;1;5;7.0;0
23.3;3;10;7.0;0
23.5;4;8;7.2;0
23.8;5;10;0.5;0
23.8;2;6;7.5;0
33.6;1;3;17.3;0
34.5;3;8;11.0;0
34.5;0;1;18.2;0
38.2;0;1;3.7;0
39.3;3;8;4.8;0
45.5;1;2;29.2;0
48.5;2;4;32.2;0
50.4;1;2;4.9;0
51.4;0;0;28.3;0
52.5;3;10;28.7;0
52.5;0;0;1.1;0
53.4;2;4;4.9;0
56.2;3;10;3.7;0
61.9;5;9;45.6;0
64.6;0;1;26.4;0
70.6;0;1;6.0;0
70.7;3;8;31.4;0
73.3;4;5;50.0;0
74.3;3;8;3.6;0
79.4;5;7;63.1;0
82.6;0;0;30.1;0
84.2;5;7;4.8;0
86.4;3;10;30.2;0
137.8;5;9;75.9;2
143.7;2;6;119.9;2
153.3;2;6;9.6;2
168.2;5;1;97.6;2
173.7;2;4;120.3;2
183.3;2;4;9.6;2
187.9;3;8;113.6;2
199.8;3;8;11.9;2
200.1;2;6;46.8;2
242.0;1;4;58.7;2
258.0;5;7;173.8;2
270.7;4;5;197.4;2
277.1;5;9;139.3;2
285.5;5;9;8.4;2
288.6;1;3;255.0;2
296.3;2;6;96.2;2
301.1;5;7;43.1;3
312.2;4;1;144.0;4
346.9;2;4;104.9;4
348.1;3;5;77.4;4
355.4;2;4;8.5;4
360.2;5;7;59.1;6
376.9;5;9;91.4;8
382.8;1;2;332.4;8
385.3;5;9;8.4;8
388.7;1;2;5.9;8
389.1;3;8;189.3;8
391.6;3;8;2.5;8
399.8;3;10;313.4;8
402.6;5;7;42.4;8
408.0;1;3;119.4;8
408.6;5;7;6.0;8
415.2;1;3;7.2;8
423.2;3;5;75.1;8
444.3;3;8;52.7;8
454.7;3;10;54.9;8
462.8;5;9;77.5;8
464.6;1;2;75.9;8
470.7;1;2;6.1;8
476.2;3;5;53.0;8
487.9;1;3;72.7;8
491.8;3;8;47.5;8
495.2;1;3;7.3;8
502.4;3;10;47.7;8
503.1;5;9;40.3;8
512.6;1;2;41.9;8
518.5;1;2;5.9;8
520.4;5;7;111.8;8
523.7;3;5;47.5;8
526.4;5;7;6.0;8
535.4;1;3;40.2;8
542.6;1;3;7.2;8
543.1;5;9;40.0;8
550.0;3;8;58.2;8
550.4;5;9;7.3;8
559.2;3;10;56.8;8
563.7;1;2;45.2;8
569.7;1;2;6.0;8
570.1;5;7;43.7;8
576.2;5;7;6.1;8
580.0;3;5;56.3;8
590.7;1;3;48.1;8
593.0;5;9;42.6;8
597.9;1;3;7.2;8
600.2;5;9;7.2;8
601.0;3;8;51.0;8
610.1;3;10;50.9;8
614.7;1;2;45.0;8
617.1;5;7;40.9;8
620.8;1;2;6.1;8
623.1;5;7;6.0;8
629.7;3;5;49.7;8
639.3;1;3;41.4;8
639.8;5;9;39.6;8
646.5;1;3;7.2;8
647.0;5;9;7.2;8
647.3;3;8;46.3;8
656.5;3;10;46.4;8
664.3;1;2;43.5;8
666.0;5;7;42.9;8
670.2;1;2;5.9;8
672.0;5;7;6.0;8
680.6;3;5;50.9;8
688.7;5;9;41.7;8
689.6;1;3;43.1;8
695.9;5;9;7.2;8
696.8;1;3;7.2;8
700.9;3;8;53.6;8
711.1;3;10;54.6;8
714.5;5;7;42.5;8
716.8;1;2;46.6;8
720.5;5;7;6.0;8
722.9;1;2;6.1;8
732.0;3;5;51.4;8
738.3;5;9;42.4;8
742.1;1;3;45.3;8
745.6;5;9;7.3;8
747.9;3;8;47.0;8
749.2;1;3;7.1;8
757.0;3;10;45.9;8
763.0;5;7;42.5;8
769.0;5;7;6.0;8
774.1;1;2;51.2;8
778.5;3;5;46.5;8
780.1;1;2;6.0;8
786.2;5;9;40.6;8
793.5;5;9;7.3;8
798.5;3;8;50.6;8
799.4;1;3;50.2;8
806.6;1;3;7.2;8
807.7;4;1;495.5;8
813.3;5;7;44.3;8
