Time;Robot;Node;Idleness;Interferences
23.0;3;10;0.0;0
30.5;3;8;7.4;0
39.1;3;10;16.1;3
44.5;0;0;21.5;4
55.8;0;1;23.0;4
62.3;5;8;31.8;4
66.7;1;3;31.2;5
79.0;4;5;56.0;10
82.2;1;5;3.2;12
83.7;0;6;61.1;13
93.4;2;6;9.7;16
110.7;0;3;44.0;24
117.8;3;10;78.7;26
121.8;0;2;72.9;29
132.7;0;3;22.0;31
137.1;2;4;64.3;32
149.1;4;3;16.4;35
151.9;0;1;96.1;37
158.4;2;1;6.5;37
162.9;3;9;114.3;37
166.3;1;8;104.0;37
174.2;5;5;92.0;37
180.6;1;5;6.4;41
315.5;0;0;271.0;80
318.5;3;10;200.7;81
325.3;5;8;159.0;83
327.8;3;8;2.5;85
329.9;4;2;208.1;86
333.1;1;3;184.0;87
338.4;3;5;157.8;87
356.0;3;8;28.2;94
363.5;3;10;45.0;96
369.7;4;3;36.6;97
393.1;1;6;299.7;102
398.1;4;6;5.0;102
400.4;2;4;263.3;102
415.9;2;1;257.5;106
425.6;1;7;350.4;107
439.0;4;3;69.3;107
